id,hour_of_day,level,mean_seconds
D7ztGzWsNcXCjkpkH9O7,13,rem,1152.8571428571429
D7ztGzWsNcXCjkpkH9O7,13,wake,760.0
D7ztGzWsNcXCjkpkH9O7,14,deep,947.14285714285711
D7ztGzWsNcXCjkpkH9O7,14,light,1932.8571428571427
D7ztGzWsNcXCjkpkH9O7,14,rem,600.0
D7ztGzWsNcXCjkpkH9O7,14,wake,540.0
D7ztGzWsNcXCjkpkH9O7,15,deep,270.0
D7ztGzWsNcXCjkpkH9O7,15,light,2037.2727272727273
D7ztGzWsNcXCjkpkH9O7,15,rem,1038.75
D7ztGzWsNcXCjkpkH9O7,15,wake,860.0
D7ztGzWsNcXCjkpkH9O7,16,deep,1890.0
D7ztGzWsNcXCjkpkH9O7,16,light,1812.8571428571429
D7ztGzWsNcXCjkpkH9O7,16,rem,1026.0
D7ztGzWsNcXCjkpkH9O7,16,wake,810.0
D7ztGzWsNcXCjkpkH9O7,17,deep,1020.0
D7ztGzWsNcXCjkpkH9O7,17,light,1210.0
D7ztGzWsNcXCjkpkH9O7,17,rem,1248.0
D7ztGzWsNcXCjkpkH9O7,17,wake,480.0
D7ztGzWsNcXCjkpkH9O7,18,deep,900.0
D7ztGzWsNcXCjkpkH9O7,18,light,1095.0
D7ztGzWsNcXCjkpkH9O7,18,rem,60.0
D7ztGzWsNcXCjkpkH9O7,18,wake,570.0
D7ztGzWsNcXCjkpkH9O7,19,light,1245.0
D7ztGzWsNcXCjkpkH9O7,19,rem,930.0
D7ztGzWsNcXCjkpkH9O7,19,wake,420.0
D7ztGzWsNcXCjkpkH9O7,20,deep,495.0
D7ztGzWsNcXCjkpkH9O7,20,light,1560.0
D7ztGzWsNcXCjkpkH9O7,20,rem,1710.0
D7ztGzWsNcXCjkpkH9O7,20,wake,375.0
D7ztGzWsNcXCjkpkH9O7,21,deep,1890.0
D7ztGzWsNcXCjkpkH9O7,21,light,966.0
D7ztGzWsNcXCjkpkH9O7,21,rem,450.0
D7ztGzWsNcXCjkpkH9O7,21,wake,525.0
D7ztGzWsNcXCjkpkH9O7,22,deep,1143.3333333333333
