id,hour_of_day,mean_hourly_steps
Ohb0TKzIBmhz3jYZJ4Eq,3,4.85
Ohb0TKzIBmhz3jYZJ4Eq,4,3.35
Ohb0TKzIBmhz3jYZJ4Eq,5,0.98
Ohb0TKzIBmhz3jYZJ4Eq,6,1.86
Ohb0TKzIBmhz3jYZJ4Eq,7,20.89
Ohb0TKzIBmhz3jYZJ4Eq,8,1261.63
Ohb0TKzIBmhz3jYZJ4Eq,9,212.74
Ohb0TKzIBmhz3jYZJ4Eq,10,429.68
Ohb0TKzIBmhz3jYZJ4Eq,11,407.03
Ohb0TKzIBmhz3jYZJ4Eq,12,619.94
Ohb0TKzIBmhz3jYZJ4Eq,13,518.91
Ohb0TKzIBmhz3jYZJ4Eq,14,538.75
Ohb0TKzIBmhz3jYZJ4Eq,15,2139.15
Ohb0TKzIBmhz3jYZJ4Eq,16,1033.62
Ohb0TKzIBmhz3jYZJ4Eq,17,1127.94
Ohb0TKzIBmhz3jYZJ4Eq,18,620.29
Ohb0TKzIBmhz3jYZJ4Eq,19,643.46
Ohb0TKzIBmhz3jYZJ4Eq,20,551.86
Ohb0TKzIBmhz3jYZJ4Eq,21,379.18
Ohb0TKzIBmhz3jYZJ4Eq,22,258.66
Ohb0TKzIBmhz3jYZJ4Eq,23,127.48
TQxEAP2h7ZW93YKzsM1u,0,2.65
TQxEAP2h7ZW93YKzsM1u,1,2.31
TQxEAP2h7ZW93YKzsM1u,2,2.03
TQxEAP2h7ZW93YKzsM1u,3,3.08
TQxEAP2h7ZW93YKzsM1u,4,14.89
TQxEAP2h7ZW93YKzsM1u,5,546.66
TQxEAP2h7ZW93YKzsM1u,6,867.92
TQxEAP2h7ZW93YKzsM1u,7,1091.46
TQxEAP2h7ZW93YKzsM1u,8,890.8
TQxEAP2h7ZW93YKzsM1u,9,956.14
TQxEAP2h7ZW93YKzsM1u,10,1232.03
TQxEAP2h7ZW93YKzsM1u,11,1221.77
TQxEAP2h7ZW93YKzsM1u,12,1098.14
TQxEAP2h7ZW93YKzsM1u,13,1025.35
TQxEAP2h7ZW93YKzsM1u,14,1263.89
TQxEAP2h7ZW93YKzsM1u,15,1172.26
TQxEAP2h7ZW93YKzsM1u,16,818.37
TQxEAP2h7ZW93YKzsM1u,17,1068.08
TQxEAP2h7ZW93YKzsM1u,18,825.85
